ID,gl_s_dga_ga_tot_n_none_c_c,gl_s_dga_ga_tot_s_none_c_c,gl_s_dga_gta_tot_n_none_c_c,gl_s_dga_gta_tot_s_none_c_c,gl_s_dga_rgla_tot_n_none_c_c,gl_s_dga_rgla_tot_s_none_c_c,gl_s_dga_gwe_tot_n_none_c_c,gl_s_dga_gwe_tot_s_none_c_c,gl_s_dga_gtwe_tot_n_none_c_c,gl_s_dga_gtwe_tot_s_none_c_c,gl_s_dga_rglwe_tot_n_none_c_c,gl_s_dga_rglwe_tot_s_none_c_c,gl_s_dga_galt_mean_n_none_c_c,gl_s_dga_galt_mean_s_none_c_c,gl_s_dga_gtalt_mean_n_none_c_c,gl_s_dga_gtalt_mean_s_none_c_c,gl_s_dga_rglalt_mean_n_none_c_c,gl_s_dga_rglalt_mean_s_none_c_c
1001001,304926,37926,96635,18487,73548,118214,5673698,850714,1116634,107737,388313,864864,6055,5862,6070,5795,4958,4851
1001002,392945,37926,96635,118035,210995,1066042,7311444,850714,1116634,1023272,1036236,6609395,6055,5862,6070,5688,5029,4996
1001003,392945,37926,96635,118035,190091,995974,7311444,850714,1116634,1023272,953836,6244879,6055,5862,6070,5688,5048,4997
1020002,0,3224815,336186,242655,471914,320077,0,82397890,3979332,2486864,3263188,2640223,0,5850,5889,5711,5178,5003
1020003,0,3224815,336186,242655,471914,402109,0,82397890,3979332,2486864,3263188,3054289,0,5850,5889,5711,5178,5000
1021001,0,4012583,488459,691526,2838877,8076264,0,96658903,5714856,7681819,22279931,77348471,0,5847,5888,5769,5043,5009
1021002,0,0,8230,155343,263842,346738,0,0,86952,1965673,2018437,2094800,0,0,5851,5837,4835,4816
1041002,0,0,0,0,161967,152960,0,0,0,0,1325917,1096258,0,0,0,0,4808,4734
1044001,0,306230,28974,44590,105174,2013013,0,4861423,165153,235920,518133,17394863,0,5815,5912,5828,5273,5121
1050002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050004,0,0,0,0,27748,902429,0,0,0,0,120999,7701346,0,0,0,0,5120,5060
1201001,0,0,0,0,150664,935869,0,0,0,0,748009,6911743,0,0,0,0,4987,4913
1201003,0,0,0,31792,632781,4265248,0,0,0,180067,3731618,36464195,0,0,0,5561,5066,4945
1201005,0,0,0,20462,319957,1937014,0,0,0,123651,2058867,19264219,0,0,0,5648,5113,5060
1210001,0,0,0,31792,737960,6275439,0,0,0,180067,4239002,53267711,0,0,0,5561,5108,4977
1211001,0,0,0,31792,737960,6275439,0,0,0,180067,4239002,53267711,0,0,0,5561,5108,4977
1300009,0,0,0,0,266733,3079266,0,0,0,0,1614175,22538360,0,0,0,0,4719,4752
1310002,0,0,0,0,266897,3594549,0,0,0,0,1615160,25354457,0,0,0,0,4719,4740
1410004,0,0,0,0,0,536934,0,0,0,0,0,4142144,0,0,0,0,0,4716
1502002,0,0,0,0,375017,4600863,0,0,0,0,2905978,52086995,0,0,0,0,4983,4871
1502008,0,0,0,0,374735,4597389,0,0,0,0,2903801,52047681,0,0,0,0,4983,4871
1610004,0,0,0,0,518223,2482746,0,0,0,0,4260314,19733296,0,0,0,0,5045,4931
1730002,0,0,0,0,17272,431425,0,0,0,0,63589,2809263,0,0,0,0,5184,5014
1730003,0,0,0,0,27748,1117088,0,0,0,0,120999,8835830,0,0,0,0,5120,5029
1730007,0,0,0,0,17272,216767,0,0,0,0,63589,1674779,0,0,0,0,5184,5125
1730012,0,0,0,0,17272,431425,0,0,0,0,63589,2809263,0,0,0,0,5184,5014
2101001,0,0,0,17120,433870,388814,0,0,0,91481,2926170,2232002,0,0,0,6100,5172,5026
2103001,0,0,0,35676,390270,1882097,0,0,0,227580,2333441,16205425,0,0,0,5890,4983,4943
2103002,0,0,0,35676,390270,2206991,0,0,0,227580,2333441,19628888,0,0,0,5890,4983,4922
2103014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2104002,0,0,0,52786,902873,3155595,0,0,0,319010,5607613,25334449,0,0,0,5958,5076,4936
2104003,0,0,0,52786,902873,3155595,0,0,0,319010,5607613,25334449,0,0,0,5958,5076,4936
2104013,0,0,0,54876,902873,3155595,0,0,0,331562,5607613,25334449,0,0,0,5962,5076,4936
2105001,0,0,0,0,378494,1601780,0,0,0,0,2097393,13312476,0,0,0,0,4974,4890
2105002,0,0,0,0,378404,1601780,0,0,0,0,2096975,13312476,0,0,0,0,4974,4890
2105005,0,0,0,0,559307,3727336,0,0,0,0,3166078,34867685,0,0,0,0,4893,4867
2105007,0,0,0,0,87849,773107,0,0,0,0,431603,6026862,0,0,0,0,4862,4962
2110001,0,0,0,52786,1462180,6882931,0,0,0,319010,8773690,60202134,0,0,0,5958,5006,4898
2110002,0,0,0,52786,1462180,6882931,0,0,0,319010,8773690,60202134,0,0,0,5958,5006,4898
2110004,0,0,0,52786,1462180,6882931,0,0,0,319010,8773690,60202134,0,0,0,5958,5006,4898
2110031,0,0,0,52786,1462180,6882931,0,0,0,319010,8773690,60202134,0,0,0,5958,5006,4898
2112005,0,0,0,52818,1463154,6887567,0,0,0,319200,8779461,60242588,0,0,0,5958,5006,4898
2112006,0,0,0,52818,1463154,6887567,0,0,0,319200,8779461,60242588,0,0,0,5958,5006,4898
2112007,0,0,0,52818,1463154,6887567,0,0,0,319200,8779461,60242588,0,0,0,5958,5006,4898
2113001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2120001,0,0,0,54908,1508174,8824749,0,0,0,331758,8964049,75119340,0,0,0,5962,5010,4909
2510001,0,0,0,0,418364,144825,0,0,0,0,3880041,1139279,0,0,0,0,4858,4757
3022001,1403669,4111880,1392213,7514144,2795814,811405,32736750,71790232,11357009,77654816,42631277,7099583,6310,5894,6137,5873,4968,4910
3041001,0,0,0,51081,0,0,0,0,0,427885,0,0,0,0,0,5804,0,0
3041002,0,0,0,0,128712,0,0,0,0,0,788242,0,0,0,0,0,4830,0
3041003,0,284523,0,454559,258044,435444,0,4400216,0,3469915,2051497,3886380,0,5520,0,5503,4956,4807
3041004,0,284523,0,600393,386757,435444,0,4400216,0,4832418,2839740,3886380,0,5520,0,5534,4914,4807
3041005,1403669,3472868,1321701,6292056,855601,375961,32736750,61460698,10819438,67757704,12487435,3213204,6310,5930,6149,5920,5424,5030
3050001,0,254121,0,273871,69117,144515,0,3930041,0,1794392,417493,950876,0,5520,0,5258,4681,4713
3404001,0,0,34466,835361,187102,2109028,0,0,196109,7586952,1117172,22543848,0,0,5421,5540,4733,4716
