ID,sf_s_glhym_por_mean_b_none_c_c,sf_s_glhym_perm_mean_b_none_c_c
1001001,7,-1241
1001002,6,-1285
1001003,6,-1225
1020002,11,-1307
1020003,10,-1323
1021001,6,-1304
1021002,5,-1218
1041002,8,-1224
1044001,11,-1269
1050002,7,-1264
1050004,8,-1272
1201001,8,-1238
1201003,7,-1233
1201005,6,-1219
1210001,8,-1248
1211001,7,-1230
1300009,12,-1259
1310002,11,-1252
1410004,8,-1238
1502002,7,-1234
1502008,8,-1261
1610004,9,-1269
1730002,10,-1292
1730003,13,-1262
1730007,10,-1290
1730012,10,-1287
2101001,12,-1259
2103001,5,-1180
2103002,5,-1180
2103014,8,-1218
2104002,11,-1247
2104003,11,-1248
2104013,11,-1248
2105001,8,-1246
2105002,9,-1256
2105005,10,-1221
2105007,6,-1212
2110001,10,-1228
2110002,10,-1228
2110004,10,-1228
2110031,11,-1236
2112005,14,-1240
2112006,11,-1228
2112007,12,-1227
2113001,11,-1266
2120001,12,-1241
2510001,11,-1270
3022001,9,-1245
3041001,12,-1264
3041002,9,-1267
3041003,8,-1258
3041004,8,-1258
3041005,8,-1227
3050001,9,-1259
3404001,12,-1319
3414001,6,-1326
3421001,7,-1311
3430001,9,-1315
3430003,9,-1317
3431001,9,-1310
3434003,9,-1299
3450001,9,-1290
3453001,9,-1285
3802001,5,-1275
3804002,4,-1309
3806001,5,-1312
3814003,7,-1310
3815001,8,-1306
3815002,7,-1307
3820001,6,-1309
3820002,6,-1309
3820003,7,-1308
3825001,7,-1302
4301002,8,-1251
4302001,12,-1251
4308001,7,-1308
4311001,2,-1354
4313001,1,-1342
4314002,2,-1352
4320001,6,-1319
4323001,6,-1312
4501001,5,-1314
4503001,8,-1302
4511002,4,-1316
4512001,5,-1300
4513001,4,-1305
4514001,3,-1318
4515002,5,-1286
4520001,2,-1294
4522002,6,-1286
4523002,5,-1295
4530001,5,-1309
4531002,8,-1283
4532001,4,-1349
4533002,15,-1279
4537001,13,-1283
4558001,9,-1287
