ID,sf_s_isric_sbd_mean_b_none_c_c,sf_s_isric_sbd_p10_b_none_c_c,sf_s_isric_sbd_p25_b_none_c_c,sf_s_isric_sbd_p50_b_none_c_c,sf_s_isric_sbd_p75_b_none_c_c,sf_s_isric_sbd_p90_b_none_c_c,sf_s_isric_scf_mean_b_none_c_c,sf_s_isric_scf_p10_b_none_c_c,sf_s_isric_scf_p25_b_none_c_c,sf_s_isric_scf_p50_b_none_c_c,sf_s_isric_scf_p75_b_none_c_c,sf_s_isric_scf_p90_b_none_c_c,sf_s_isric_clay_mean_b_none_c_c,sf_s_isric_clay_p10_b_none_c_c,sf_s_isric_clay_p25_b_none_c_c,sf_s_isric_clay_p50_b_none_c_c,sf_s_isric_clay_p75_b_none_c_c,sf_s_isric_clay_p90_b_none_c_c,sf_s_isric_sand_mean_b_none_c_c,sf_s_isric_sand_p10_b_none_c_c,sf_s_isric_sand_p25_b_none_c_c,sf_s_isric_sand_p50_b_none_c_c,sf_s_isric_sand_p75_b_none_c_c,sf_s_isric_sand_p90_b_none_c_c,sf_s_isric_silt_mean_b_none_c_c,sf_s_isric_silt_p10_b_none_c_c,sf_s_isric_silt_p25_b_none_c_c,sf_s_isric_silt_p50_b_none_c_c,sf_s_isric_silt_p75_b_none_c_c,sf_s_isric_silt_p90_b_none_c_c,sf_s_isric_socc_mean_b_none_c_c,sf_s_isric_socc_p10_b_none_c_c,sf_s_isric_socc_p25_b_none_c_c,sf_s_isric_socc_p50_b_none_c_c,sf_s_isric_socc_p75_b_none_c_c,sf_s_isric_socc_p90_b_none_c_c
1001001,126,123,126,127,128,129,349,260,316,365,390,412,175,152,159,172,186,211,588,548,565,589,616,623,236,215,221,232,251,261,215,160,182,210,242,277
1001002,129,125,127,130,132,133,315,242,265,303,364,403,178,159,166,174,185,205,595,550,580,604,617,625,225,205,214,222,236,253,170,103,122,154,195,271
1001003,127,123,125,128,129,131,338,244,294,350,386,415,183,157,166,179,200,217,580,531,552,585,611,621,235,211,220,235,251,261,216,138,163,197,261,328
1020002,127,124,126,128,129,130,328,261,284,319,371,404,181,157,167,179,193,207,593,554,579,599,612,621,225,207,214,224,235,248,200,133,149,181,243,296
1020003,128,124,126,128,129,131,309,230,257,299,360,401,180,159,168,178,191,205,598,567,587,603,616,625,220,202,210,218,229,241,190,125,144,172,230,282
1021001,130,127,128,130,132,133,316,228,253,306,375,424,174,153,160,170,184,201,609,574,595,615,627,637,216,197,206,215,225,235,163,107,130,157,190,225
1021002,129,126,128,129,131,133,379,285,334,386,435,456,183,165,171,177,200,207,606,572,583,613,625,636,210,192,201,210,218,226,176,130,144,166,198,237
1041002,129,126,127,128,130,131,352,276,309,351,398,432,182,165,171,180,189,202,588,570,582,591,599,606,228,213,221,228,236,243,144,89,112,144,171,193
1044001,132,128,130,133,135,136,349,254,293,363,398,427,172,153,161,169,178,188,578,557,566,578,591,603,248,221,234,251,263,273,111,66,79,105,136,163
1050002,133,129,130,133,135,136,343,255,309,354,382,405,169,156,163,169,175,181,575,557,564,572,584,597,255,229,245,259,268,274,116,87,96,113,132,149
1050004,132,128,130,132,134,136,346,270,314,355,381,406,170,155,162,170,176,183,575,558,565,575,585,595,253,228,242,256,266,273,122,88,99,118,139,160
1201001,128,125,126,128,132,133,353,255,301,352,405,450,176,159,165,175,185,197,584,557,571,586,599,609,239,220,228,238,249,261,142,88,107,132,167,206
1201003,129,124,126,129,131,134,333,218,266,337,398,439,176,159,166,174,184,196,590,561,578,592,605,614,233,214,222,232,242,254,133,77,95,123,157,199
1201005,129,124,127,129,131,134,333,206,253,345,405,441,179,158,166,177,188,203,593,561,580,597,609,617,227,208,218,228,237,246,137,73,89,124,161,229
1210001,129,125,127,129,131,134,340,242,298,343,385,427,180,155,167,179,194,211,575,533,557,581,597,609,244,218,226,240,257,275,124,71,88,113,147,187
1211001,131,126,128,130,133,139,336,247,298,338,376,418,170,128,156,174,190,207,583,533,556,580,600,617,246,212,225,242,265,290,125,71,88,110,148,196
1300009,130,128,128,129,131,135,348,285,312,348,382,414,186,164,173,185,199,207,558,530,542,555,572,594,255,228,244,257,268,276,102,64,75,97,119,152
1310002,130,127,128,130,132,134,345,287,313,345,374,402,181,148,169,184,198,207,559,531,544,558,574,589,259,232,246,260,272,282,98,64,74,93,114,144
1410004,129,125,127,129,130,132,358,307,333,357,384,411,165,148,158,166,174,181,584,556,567,584,604,614,249,219,230,250,267,283,130,89,106,123,151,180
1502002,131,125,128,130,133,139,355,310,331,353,379,404,166,132,145,168,185,199,563,528,548,565,582,596,269,231,247,264,288,323,116,72,87,109,135,166
1502008,129,126,128,129,131,132,358,307,332,355,382,411,176,145,162,177,192,203,571,544,555,570,586,598,252,225,238,252,265,278,120,75,92,116,139,172
1610004,130,127,128,130,131,132,371,298,332,369,408,446,185,163,169,181,199,218,587,567,578,588,597,604,227,208,216,227,237,246,157,110,135,158,179,199
1730002,129,126,128,129,130,132,386,342,365,386,409,432,166,141,153,165,177,190,570,549,559,570,581,589,263,241,253,264,274,287,134,86,106,131,159,183
1730003,129,126,127,129,131,132,368,284,341,372,402,434,169,146,155,165,176,204,573,556,564,575,584,592,256,225,246,260,270,276,136,84,106,130,158,196
1730007,129,126,127,129,130,132,394,345,371,395,420,444,174,154,162,172,182,196,568,550,558,569,579,588,256,234,247,259,269,277,147,104,122,147,168,191
1730012,129,126,128,129,132,133,385,342,364,386,409,432,166,140,152,164,177,190,568,546,558,570,581,589,265,241,253,265,277,291,132,82,104,128,158,182
2101001,134,130,132,134,136,139,358,298,329,367,386,403,182,163,172,183,191,199,573,554,563,573,584,595,243,213,230,246,259,268,100,67,79,95,118,142
