ID,sf_s_ornl_brd_p10_b_none_c_c,sf_s_ornl_brd_p25_b_none_c_c,sf_s_ornl_brd_p50_b_none_c_c,sf_s_ornl_brd_p75_b_none_c_c,sf_s_ornl_brd_p90_b_none_c_c,sf_s_ornl_brd_mean_b_none_c_c
1001001,26,65,122,170,198,106
1001002,65,115,153,192,288,135
1001003,67,121,175,263,374,175
1020002,65,115,154,194,355,164
1020003,70,116,153,190,294,146
1021001,59,111,147,182,240,235
1021002,17,43,87,141,176,85
1041002,31,78,128,167,191,89
1044001,51,112,165,271,551,215
1050002,27,68,123,168,195,88
1050004,29,73,127,169,194,88
1201001,24,60,114,158,184,88
1201003,23,59,113,157,184,88
1201005,23,58,113,158,185,88
1210001,27,67,121,162,187,79
1211001,27,68,122,165,191,76
1300009,15,39,77,129,172,71
1310002,20,49,98,150,181,67
1410004,22,55,108,156,185,72
1502002,18,46,91,146,180,53
1502008,20,49,99,150,181,67
1610004,22,56,110,156,183,76
1730002,19,46,93,147,180,57
1730003,24,60,116,162,190,82
1730007,15,36,73,120,168,63
1730012,18,46,91,146,180,56
2101001,25,63,119,163,190,78
2103001,26,64,126,186,379,134
2103002,26,64,125,183,353,129
2103014,103,166,307,579,828,376
2104002,28,69,125,171,198,90
2104003,27,68,124,171,198,90
2104013,27,68,124,171,198,90
2105001,16,39,78,132,175,50
2105002,16,39,79,132,174,50
2105005,24,60,117,169,199,130
2105007,14,34,69,109,164,55
2110001,33,83,143,198,1044,344
2110002,33,83,143,198,1044,344
2110004,33,84,144,199,1078,351
2110031,30,75,133,183,411,217
2112005,42,104,193,989,2742,817
2112006,39,97,162,474,1354,446
2112007,44,106,181,866,2596,752
2113001,10,25,50,75,90,52
2120001,33,82,173,901,3390,846
2510001,24,59,116,168,199,85
3022001,19,48,95,156,193,126
3041001,12,29,59,88,134,30
3041002,13,33,65,98,163,38
3041003,17,43,86,143,182,53
3041004,17,42,84,142,181,52
3041005,17,41,83,139,180,57
3050001,13,32,65,97,156,46
3404001,15,38,75,128,178,45
3414001,15,37,75,127,176,45
3421001,15,37,74,126,178,45
3430001,15,38,76,131,179,45
3430003,15,38,76,131,179,45
3431001,15,38,77,132,180,46
3434003,15,38,76,130,180,45
3450001,16,39,78,137,187,55
3453001,16,41,82,146,195,76
3802001,15,38,76,130,178,47
3804002,15,39,77,132,180,47
3806001,16,39,78,133,180,47
3814003,15,37,74,127,179,44
3815001,15,38,76,131,182,47
3815002,15,38,75,130,181,46
3820001,16,39,78,134,181,47
3820002,16,39,78,134,182,48
3820003,16,39,78,134,182,48
3825001,17,42,85,150,197,80
4301002,12,31,62,94,151,30
4302001,14,35,70,112,167,39
4308001,15,38,75,128,178,44
4311001,13,33,67,100,163,39
4313001,15,36,73,121,174,43
4314002,15,37,74,124,175,43
4320001,15,38,76,129,178,44
4323001,15,39,77,132,180,46
4501001,14,35,71,116,171,41
4503001,15,38,76,129,176,47
4511002,13,32,64,95,153,43
4512001,17,42,84,140,178,52
4513001,16,40,81,136,178,49
4514001,14,35,71,116,170,42
4515002,15,37,74,124,172,45
4520001,13,33,66,99,162,38
4522002,15,37,73,122,172,45
4523002,16,39,79,134,177,47
4530001,16,39,78,131,175,50
4531002,18,44,89,145,181,55
4532001,13,32,64,96,154,43
4533002,16,39,78,131,174,56
4537001,20,50,101,153,185,63
4558001,21,52,105,161,195,108
4703002,15,38,75,127,174,45
4704001,14,36,72,119,169,47
4704002,14,35,71,115,168,45
4711001,16,41,81,137,178,49
4712001,13,32,64,96,153,43
4714001,20,51,102,153,184,64
4716004,19,46,93,148,183,56
4721001,15,37,73,123,173,43
4723001,16,40,79,134,177,50
4726001,18,44,88,145,181,56
4730001,19,48,96,151,184,59
4810001,15,37,74,122,169,64
4810005,15,38,75,125,170,67
4810006,10,25,50,75,90,54
5100001,13,33,67,101,161,51
5101001,10,25,50,75,90,58
5110002,19,47,94,148,181,64
5120001,25,62,117,162,189,76
5200001,13,34,67,102,161,51
5221002,25,63,119,167,196,96
5320001,39,98,154,290,1065,307
5401003,13,33,67,100,162,39
5402001,14,36,71,117,169,42
5402015,14,35,69,110,167,39
5403002,14,36,71,117,170,42
5406001,15,37,74,126,175,45
5410002,15,38,76,129,175,46
5410005,20,49,99,158,195,153
5411001,10,25,50,75,90,72
5414001,15,36,73,120,169,48
5421002,27,67,123,168,195,113
5423003,22,55,111,168,229,186
5701001,15,38,76,129,174,48
5701002,16,40,81,136,177,48
5702001,14,34,69,108,165,42
5703006,10,25,50,75,90,27
5704002,16,40,80,136,178,48
5705001,14,35,69,111,167,39
5706001,13,31,63,94,151,41
5707002,16,39,78,133,177,47
5710001,17,42,84,140,179,50
5716001,56,115,165,488,2952,746
5720001,15,37,75,124,170,66
5721001,13,32,64,97,155,45
5721016,14,34,68,105,162,53
5722001,10,25,50,75,90,59
5722002,14,36,71,116,166,60
