ID,sf_s_ornl_brd_tot_p_none_c_c
1001001,0
1001002,2
1001003,2
1020002,2
1020003,2
1021001,1
1021002,1
1041002,5
1044001,2
1050002,1
1050004,1
1201001,3
1201003,1
1201005,1
1210001,2
1211001,8
1300009,2
1310002,1
1410004,1
1502002,1
1502008,0
1610004,1
1730002,1
1730003,1
1730007,1
1730012,2
2101001,2
2103001,1
2103002,1
2103014,2
2104002,1
2104003,1
2104013,5
2105001,1
2105002,1
2105005,20
2105007,0
2110001,11
2110002,11
2110004,6
2110031,16
2112005,2
2112006,4
2112007,17
2113001,0
2120001,5
2510001,2
3022001,0
3041001,1
3041002,1
3041003,1
3041004,1
3041005,1
3050001,1
3404001,3
3414001,3
3421001,3
3430001,6
3430003,3
3431001,3
3434003,2
3450001,3
3453001,12
3802001,12
3804002,1
3806001,18
3814003,2
3815001,21
3815002,1
3820001,7
3820002,3
3820003,0
3825001,5
4301002,1
4302001,3
4308001,3
4311001,1
4313001,6
4314002,1
4320001,2
4323001,2
4501001,4
4503001,2
4511002,2
4512001,2
4513001,2
4514001,2
4515002,2
4520001,1
4522002,1
4523002,3
4530001,1
4531002,5
4532001,1
4533002,1
4537001,3
4558001,14
4703002,2
4704001,2
4704002,1
4711001,3
4712001,0
4714001,3
4716004,2
4721001,2
4723001,0
4726001,1
4730001,2
4810001,0
4810005,2
4810006,1
5100001,1
5101001,1
5110002,1
5120001,7
5200001,0
5221002,11
5320001,8
5401003,2
5402001,2
5402015,0
5403002,2
5406001,2
5410002,1
5410005,3
5411001,1
5414001,1
5421002,10
5423003,16
5701001,1
5701002,1
5702001,1
5703006,1
5704002,2
5705001,2
5706001,1
5707002,2
5710001,1
5716001,3
5720001,1
5721001,1
5721016,1
5722001,1
5722002,2
5730008,0
5734001,1
5737002,6
5741001,2
5746001,10
5748001,1
6000003,1
6002001,1
6003001,1
6006001,6
6008005,1
6011001,49
6013001,1
6015001,50
6018001,2
6019003,50
6027001,1
6028001,1
6033011,50
6034022,8
6034023,50
6035001,50
6043001,50
6132001,9
7102005,3
7103001,1
7104002,1
7112001,0
7115001,1
7116001,3
7123001,4
7200002,2
7300001,1
7303000,3
7306001,1
7308001,4
7308002,2
7317003,0
7317005,1
7320003,1
7321002,1
7322001,16
7330001,3
7332001,50
7335001,10
7335002,50
7336001,7
7339001,50
7341001,10
7343001,1
7350001,2
7350002,1
7350003,1
7354002,2
7355001,24
7355002,0
7355003,1
7357002,50
7358001,50
7359001,4
7372001,14
7374001,5
7379002,4
7381001,41
7383001,2
7400001,1
8104001,2
8105001,1
8106002,2
8112001,4
8114001,27
8117005,21
8117006,1
8123001,19
8124001,45
8124002,40
8130001,2
8130002,1
8132001,48
8134003,8
8135002,20
8140002,5
8141001,5
8144001,2
8210003,3
8220001,11
8220008,4
8220009,2
8220010,4
8304001,5
8307002,5
8308000,1
8312000,5
8312001,2
8313000,2
8313001,1
8316002,1
8317001,10
8317002,3
8317004,3
8317005,6
8319001,18
8323001,41
8323002,8
8324002,50
8330001,10
8332001,7
8334001,50
8342001,2
8343001,2
8351001,1
8356001,3
8358001,12
8362001,1
8366002,34
8372002,3
8376001,4
8380001,46
8380006,34
8381003,21
8383001,19
8393002,20
8394001,3
8700002,4
8700003,3
8720001,2
8820001,1
8821001,3
8821002,2
8821003,2
8821006,12
8822002,1
8910001,37
9101001,4
9101002,3
9102001,3
9104001,16
9104002,13
9106001,35
9107001,5
9113001,2
9116001,30
9122002,3
9123001,3
9126001,4
9127001,18
9129002,14
9131001,16
9134001,2
9135001,13
9140001,50
9400000,6
9402001,7
9404001,14
9405001,10
9412001,1
9414001,13
9416001,3
9420001,7
9423001,12
9433001,33
9434001,50
9436001,2
9437002,16
10100002,1
10100006,3
10102001,4
10111001,3
10121001,10
10122001,11
10122003,5
10133000,5
10134001,50
10137001,35
10140001,3
10142003,1
10304001,9
10305001,2
10306001,4
10311001,14
10313001,9
10322003,3
10327001,11
10328001,8
10340001,12
10343001,8
10343002,10
10344003,8
10344004,7
10351001,11
10356001,9
10362001,23
10363002,50
10364001,12
10401001,3
10405002,2
10405005,2
10411002,12
10414001,4
10431000,5
10431001,1
10432002,3
10432003,2
10440000,4
10503001,6
10514001,18
10520001,14
10523002,12
10701002,1
10702002,1
10704002,1
11020004,1
11040001,32
11130001,2
11141001,4
11143001,2
11143002,4
11147001,1
11147002,4
11302001,7
11307001,5
11308001,18
11310001,5
11310002,13
11310003,16
11312001,5
11315001,1
11316001,2
11317001,2
11335002,3
11337001,7
11342001,4
11405001,2
11500002,8
11505001,1
11514001,3
11520002,4
11521001,1
11530000,1
11532000,2
11536001,4
11536004,2
11542001,2
11545000,1
11701001,4
11710000,4
11711000,4
12280002,1
12284002,2
12284003,50
12284005,15
12284006,50
12284007,8
12285001,1
12285003,1
12286002,14
12287001,41
12288002,1
12288003,25
12288004,1
12289001,1
12289002,8
12291001,24
12400003,50
12400004,30
12448001,1
12452001,32
12561001,4
12563001,5
12582001,50
12585001,10
12586001,1
12600001,24
12622001,50
12660001,3
12802001,8
12805001,50
12806001,50
12820001,1
12825002,1
12861001,32
12863002,50
12865001,7
12872001,26
12876001,31
12876004,50
12878001,15
12930001,1
