ID,top_s_dem_com_none_b_none_c_c,top_s_dem_cc_none_b_none_c_c
1001001,1.886,0.285
1001002,2.184,0.213
1001003,2.0,0.254
1020002,2.266,0.198
1020003,2.569,0.154
1021001,2.276,0.196
1021002,1.915,0.27699999999999997
1041002,2.434,0.171
1044001,2.617,0.14800000000000002
1050002,2.4090000000000003,0.175
1050004,2.474,0.166
1201001,1.8980000000000001,0.282
1201003,2.142,0.221
1201005,1.935,0.271
1210001,2.509,0.161
1211001,3.14,0.10300000000000001
1300009,2.2640000000000002,0.198
1310002,2.556,0.155
1410004,2.6289999999999996,0.147
1502002,2.456,0.168
1502008,2.187,0.212
1610004,2.276,0.196
1730002,1.848,0.297
1730003,1.8630000000000002,0.292
1730007,1.921,0.275
1730012,1.8969999999999998,0.282
2101001,2.122,0.225
2103001,2.492,0.163
2103002,2.6689999999999996,0.142
2103014,2.169,0.21600000000000003
2104002,2.8280000000000003,0.127
2104003,2.886,0.122
2104013,2.883,0.122
2105001,2.197,0.21
2105002,2.303,0.191
2105005,2.4330000000000003,0.171
2105007,2.627,0.147
2110001,2.9589999999999996,0.11599999999999999
2110002,2.9589999999999996,0.11599999999999999
2110004,3.02,0.111
2110031,2.8310000000000004,0.127
2112005,2.8930000000000002,0.121
2112006,3.012,0.11199999999999999
2112007,3.342,0.091
2113001,2.128,0.22399999999999998
2120001,2.861,0.124
2510001,2.719,0.13699999999999998
3022001,3.161,0.102
3041001,2.13,0.22399999999999998
3041002,2.097,0.231
3041003,2.492,0.163
3041004,2.252,0.2
3041005,2.458,0.168
3050001,2.184,0.213
3404001,3.1430000000000002,0.10300000000000001
3414001,2.457,0.168
3421001,2.242,0.20199999999999999
3430001,2.681,0.141
3430003,2.677,0.142
3431001,2.7689999999999997,0.132
3434003,2.725,0.13699999999999998
3450001,2.506,0.162
3453001,2.785,0.131
3802001,2.21,0.20800000000000002
3804002,2.26,0.19899999999999998
3806001,2.146,0.22
3814003,2.147,0.22
3815001,2.597,0.15
3815002,2.362,0.182
3820001,2.36,0.182
3820002,2.39,0.17800000000000002
3820003,2.4730000000000003,0.166
3825001,2.853,0.125
4301002,2.2880000000000003,0.19399999999999998
4302001,2.16,0.217
4308001,2.594,0.151
4311001,2.408,0.175
4313001,2.171,0.215
4314002,2.029,0.24600000000000002
4320001,2.38,0.179
4323001,2.487,0.16399999999999998
4501001,2.036,0.245
4503001,2.465,0.16699999999999998
4511002,2.1519999999999997,0.21899999999999997
4512001,2.178,0.214
4513001,2.355,0.183
4514001,1.972,0.261
4515002,2.084,0.23399999999999999
4520001,1.694,0.354
4522002,2.248,0.201
4523002,2.125,0.225
4530001,1.9,0.281
4531002,2.181,0.213
4532001,1.93,0.273
4533002,2.45,0.16899999999999998
4537001,2.2880000000000003,0.19399999999999998
4558001,2.242,0.20199999999999999
4703002,2.316,0.18899999999999997
4704001,1.8530000000000002,0.29600000000000004
4704002,2.021,0.248
4711001,2.4130000000000003,0.174
4712001,2.029,0.24600000000000002
4714001,2.231,0.204
4716004,2.569,0.154
4721001,2.028,0.247
4723001,2.077,0.235
4726001,2.339,0.185
4730001,2.592,0.151
4810001,1.91,0.278
4810005,1.857,0.294
4810006,1.926,0.273
5100001,2.013,0.25
5101001,1.926,0.273
5110002,2.262,0.198
5120001,2.506,0.162
5200001,2.002,0.253
5221002,2.456,0.168
5320001,1.8530000000000002,0.29600000000000004
5401003,2.121,0.226
5402001,1.9669999999999999,0.262
5402015,1.94,0.26899999999999996
5403002,2.043,0.243
5406001,2.04,0.244
5410002,2.148,0.22
5410005,2.44,0.17
5411001,1.825,0.305
5414001,1.8840000000000001,0.28600000000000003
5421002,1.784,0.319
5423003,2.26,0.19899999999999998
5701001,2.061,0.239
5701002,2.281,0.195
5702001,2.026,0.247
5703006,1.588,0.40299999999999997
5704002,2.238,0.203
5705001,2.055,0.24
5706001,2.21,0.20800000000000002
5707002,2.362,0.182
5710001,2.52,0.16
5716001,2.173,0.215
5720001,2.112,0.228
5721001,2.0709999999999997,0.237
5721016,2.077,0.235
5722001,1.778,0.321
5722002,1.8619999999999999,0.293
5730008,1.712,0.34600000000000003
5734001,1.969,0.262
5737002,1.965,0.263
5741001,1.942,0.26899999999999996
5746001,2.131,0.223
5748001,2.457,0.168
6000003,1.9609999999999999,0.264
6002001,2.095,0.231
6003001,1.979,0.259
6006001,1.913,0.27699999999999997
6008005,2.079,0.235
6011001,1.93,0.272
6013001,2.019,0.249
6015001,2.891,0.121
6018001,2.435,0.171
6019003,2.271,0.19699999999999998
6027001,2.028,0.247
6028001,1.97,0.261
6033011,1.922,0.275
6034022,1.864,0.292
6034023,2.498,0.163
6035001,3.013,0.11199999999999999
6043001,2.06,0.239
6132001,2.412,0.174
7102005,1.854,0.295
7103001,2.249,0.201
7104002,1.989,0.256
7112001,2.9160000000000004,0.11900000000000001
7115001,2.6910000000000003,0.14
7116001,1.9909999999999999,0.256
7123001,3.4589999999999996,0.085
7200002,2.086,0.233
7300001,1.91,0.278
