ID,top_s_dem_ti_none_b_none_c_c
1001001,802
1001002,807
1001003,799
1020002,823
1020003,839
1021001,839
1021002,805
1041002,804
1044001,814
1050002,822
1050004,819
1201001,800
1201003,810
1201005,817
1210001,776
1211001,772
1300009,745
1310002,734
1410004,748
1502002,740
1502008,753
1610004,753
1730002,740
1730003,790
1730007,745
1730012,739
2101001,836
2103001,819
2103002,818
2103014,849
2104002,834
2104003,831
2104013,831
2105001,758
2105002,776
2105005,830
2105007,755
2110001,859
2110002,859
2110004,860
2110031,844
2112005,897
2112006,869
2112007,890
2113001,767
2120001,877
2510001,818
3022001,802
3041001,739
3041002,749
3041003,795
3041004,793
3041005,809
3050001,800
3404001,713
3414001,688
3421001,696
3430001,704
3430003,704
3431001,705
3434003,709
3450001,722
3453001,731
3802001,696
3804002,684
3806001,685
3814003,678
3815001,678
3815002,678
3820001,682
3820002,682
3820003,682
3825001,701
4301002,676
4302001,694
4308001,678
4311001,683
4313001,674
4314002,672
4320001,676
4323001,679
4501001,689
4503001,690
4511002,679
4512001,685
4513001,678
4514001,682
4515002,683
4520001,697
4522002,686
4523002,683
4530001,681
4531002,696
4532001,686
4533002,729
4537001,723
4558001,720
4703002,692
4704001,684
4704002,684
4711001,695
4712001,691
4714001,707
4716004,701
4721001,687
4723001,688
4726001,695
4730001,700
4810001,689
4810005,697
4810006,662
5100001,688
5101001,678
5110002,701
5120001,711
5200001,692
5221002,715
5320001,760
5401003,669
5402001,675
5402015,672
5403002,671
5406001,670
5410002,671
5410005,694
5411001,682
5414001,678
5421002,723
5423003,711
5701001,675
5701002,672
5702001,679
5703006,676
5704002,677
5705001,672
5706001,680
5707002,676
5710001,677
5716001,792
5720001,689
5721001,662
5721016,667
5722001,674
5722002,677
5730008,652
5734001,779
5737002,794
5741001,693
5746001,774
5748001,760
6000003,667
6002001,673
6003001,674
6006001,671
6008005,683
6011001,863
6013001,659
6015001,823
6018001,805
6019003,767
6027001,688
6028001,675
6033011,803
6034022,887
6034023,759
6035001,784
6043001,722
6132001,801
7102005,671
7103001,674
7104002,669
7112001,723
7115001,721
7116001,692
7123001,771
7200002,740
7300001,806
7303000,722
7306001,727
7308001,661
7308002,715
7317003,686
7317005,688
7320003,695
7321002,700
7322001,716
7330001,694
7332001,811
7335001,861
7335002,1029
7336001,783
7339001,842
7341001,758
7343001,777
7350001,680
7350002,668
7350003,675
7354002,680
7355001,689
7355002,658
7355003,638
7357002,868
7358001,833
7359001,854
7372001,783
7374001,735
7379002,852
7381001,786
7383001,809
7400001,763
8104001,670
8105001,682
8106002,681
8112001,686
8114001,815
8117005,870
8117006,723
8123001,780
8124001,841
8124002,807
8130001,735
8130002,681
8132001,810
8134003,940
8135002,851
8140002,839
8141001,836
8144001,822
8210003,770
8220001,768
8220008,743
8220009,769
8220010,768
8304001,748
8307002,757
8308000,732
8312000,743
8312001,742
8313000,695
8313001,740
8316002,693
8317001,729
8317002,758
8317004,730
8317005,729
8319001,740
8323001,806
8323002,734
8324002,987
8330001,814
8332001,766
8334001,768
8342001,736
8343001,878
8351001,767
8356001,808
8358001,807
8362001,733
8366002,962
8372002,712
8376001,683
8380001,730
8380006,731
8381003,752
8383001,777
8393002,746
8394001,794
8700002,736
8700003,747
8720001,749
8820001,728
8821001,729
8821002,729
8821003,734
8821006,742
8822002,719
8910001,775
9101001,729
9101002,725
9102001,775
9104001,916
9104002,910
9106001,877
9107001,920
9113001,895
9116001,828
9122002,762
9123001,763
9126001,777
9127001,823
9129002,813
9131001,785
9134001,746
9135001,823
9140001,835
9400000,733
9402001,728
9404001,771
9405001,795
9412001,712
9414001,725
9416001,715
9420001,795
9423001,803
9433001,786
9434001,846
9436001,774
9437002,811
10100002,740
10100006,747
10102001,710
10111001,780
10121001,794
10122001,788
10122003,788
10133000,836
10134001,811
10137001,786
10140001,725
10142003,766
10304001,712
10305001,673
10306001,740
10311001,801
10313001,899
10322003,748
10327001,854
10328001,867
10340001,898
10343001,753
10343002,851
10344003,890
10344004,885
10351001,899
10356001,892
10362001,951
10363002,941
10364001,898
10401001,762
10405002,740
10405005,708
10411002,947
10414001,1068
10431000,775
10431001,675
10432002,738
10432003,851
10440000,655
10503001,708
10514001,719
10520001,715
10523002,713
10701002,694
10702002,765
10704002,753
11020004,724
11040001,763
11130001,679
11141001,841
11143001,810
11143002,794
11147001,745
11147002,676
11302001,815
11307001,730
11308001,754
11310001,843
11310002,727
11310003,806
11312001,682
11315001,715
11316001,805
11317001,806
11335002,705
11337001,709
11342001,755
11405001,705
11500002,711
11505001,727
11514001,717
11520002,732
11521001,739
11530000,853
11532000,738
11536001,858
11536004,848
11542001,832
11545000,827
11701001,763
11710000,816
11711000,814
12280002,744
12284002,798
12284003,888
12284005,857
12284006,760
12284007,842
12285001,775
12285003,791
12286002,721
12287001,800
12288002,814
12288003,831
12288004,730
12289001,834
12289002,850
12291001,806
12400003,958
12400004,1001
12448001,834
12452001,808
12561001,851
12563001,776
12582001,796
12585001,816
12586001,816
12600001,820
12622001,840
12660001,975
12802001,858
12805001,879
12806001,874
12820001,766
12825002,918
12861001,959
12863002,919
12865001,851
12872001,915
12876001,914
12876004,824
12878001,831
12930001,688
