name_id,date,1001001,1001002,1001003,1020002,1020003,1021001,1021002,1041002,1044001,1050002,1050004,1201001,1201003,1201005,1210001,1211001,1300009,1310002,1410004,1502002,1502008,1610004,1730002,1730003,1730007,1730012,2101001,2103001,2103002,2103014,2104002,2104003,2104013,2105001,2105002,2105005,2105007,2110001,2110002,2110004,2110031,2112005,2112006,2112007,2113001,2120001,2510001,3022001,3041001,3041002,3041003,3041004,3041005,3050001,3404001,3414001,3421001,3430001,3430003,3431001,3434003,3450001,3453001,3802001,3804002,3806001,3814003,3815001,3815002,3820001,3820002,3820003,3825001,4301002,4302001,4308001,4311001,4313001,4314002,4320001,4323001,4501001,4503001,4511002,4512001,4513001,4514001,4515002,4520001,4522002,4523002,4530001,4531002,4532001,4533002,4537001,4558001,4703002,4704001,4704002,4711001,4712001,4714001,4716004,4721001,4723001,4726001,4730001,4810001,4810005,4810006,5100001,5101001,5110002,5120001,5200001,5221002,5320001,5401003,5402001,5402015,5403002,5406001,5410002,5410005,5411001,5414001,5421002,5423003,5701001,5701002,5702001,5703006,5704002,5705001,5706001,5707002,5710001,5716001,5720001,5721001,5721016,5722001,5722002,5730008,5734001,5737002,5741001,5746001,5748001,6000003,6002001,6003001,6006001,6008005,6011001,6013001,6015001,6018001,6019003,6027001,6028001,6033011,6034022,6034023,6035001,6043001,6132001,7102005,7103001,7104002,7112001,7115001,7116001,7123001,7200002,7300001,7303000,7306001,7308001,7308002,7317003,7317005,7320003,7321002,7322001,7330001,7332001,7335001,7335002,7336001,7339001,7341001,7343001,7350001,7350002,7350003,7354002,7355001,7355002,7355003,7357002,7358001,7359001,7372001,7374001,7379002,7381001,7383001,7400001,8104001,8105001,8106002,8112001,8114001,8117005,8117006,8123001,8124001,8124002,8130001,8130002,8132001,8134003,8135002,8140002,8141001,8144001,8210003,8220001,8220008,8220009,8220010,8304001,8307002,8308000,8312000,8312001,8313000,8313001,8316002,8317001,8317002,8317004,8317005,8319001,8323001,8323002,8324002,8330001,8332001,8334001,8342001,8343001,8351001,8356001,8358001,8362001,8366002,8372002,8376001,8380001,8380006,8381003,8383001,8393002,8394001,8700002,8700003,8720001,8820001,8821001,8821002,8821003,8821006,8822002,8910001,9101001,9101002,9102001,9104001,9104002,9106001,9107001,9113001,9116001,9122002,9123001,9126001,9127001,9129002,9131001,9134001,9135001,9140001,9400000,9402001,9404001,9405001,9412001,9414001,9416001,9420001,9423001,9433001,9434001,9436001,9437002,10100002,10100006,10102001,10111001,10121001,10122001,10122003,10133000,10134001,10137001,10140001,10142003,10304001,10305001,10306001,10311001,10313001,10322003,10327001,10328001,10340001,10343001,10343002,10344003,10344004,10351001,10356001,10362001,10363002,10364001,10401001,10405002,10405005,10411002,10414001,10431000,10431001,10432002,10432003,10440000,10503001,10514001,10520001,10523002,10701002,10702002,10704002,11020004,11040001,11130001,11141001,11143001,11143002,11147001,11147002,11302001,11307001,11308001,11310001,11310002,11310003,11312001,11315001,11316001,11317001,11335002,11337001,11342001,11405001,11500002,11505001,11514001,11520002,11521001,11530000,11532000,11536001,11536004,11542001,11545000,11701001,11710000,11711000,12280002,12284002,12284003,12284005,12284006,12284007,12285001,12285003,12286002,12287001,12288002,12288003,12288004,12289001,12289002,12291001,12400003,12400004,12448001,12452001,12561001,12563001,12582001,12585001,12586001,12600001,12622001,12660001,12802001,12805001,12806001,12820001,12825002,12861001,12863002,12865001,12872001,12876001,12876004,12878001,12930001
A2021001,2021-01-01,46,10,17,15,8,5,15,5,5,0,1,3,12,22,7,6,0,0,1,1,1,6,2,4,3,2,3,27,26,15,10,10,10,40,36,14,43,9,9,9,10,5,7,7,1,2,21,5,5,0,6,6,10,0,0,2,5,1,1,1,1,1,1,9,6,4,1,1,1,3,3,3,2,8,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,29,19,24,20,11,9,0,0,0,4,19,16,36,23,21,20,44,25,21,1,10,18,1,0,8,0,0,1,0,0,7,30,68,51,32,32,0,19,4,0,14,5,39,0,0,21,19,0,0,22,14,15,21,21,0,9,0,22,9,21,0,14,11,12,10,12,11,1,0,0,0,0,0,0,0,9,0,12,12,2,3,11,1,0,2,1,0,0,0,5,0,8,10,8,1,0,8,23,2,1,1,38,11,9,0,3,3,3,0,0,0,0,0,0,8,3,9,3,4,1,4,0,3,0,4,3,3,6,9,0,3,1,3,0,0,0,0,0,0,0,15,7,10,10,10,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,0,0,4,14,0,3,3,19,15,10,2,5,7,1,6,5,0,0,0,5,4,5,11,5,0,4,4,0,0,0,0,0,11,1,22,7,0,14,1,6,7,0,0,3,3,0,0,0,0,1,0,0,0,0,0,3,0,3,1,0,9,22,16,16,30,14,16,14,9,24,0,3,2,4,11,1,3,2,0,2,0,3,3,0,1,15,10,4,6,33,24,22,11,10,17,64,4,18,16,16,20,22,22,48,2,1,0,5,2,0,1,27,84,99,74,95,15,2,13,0,1,6,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
A2021009,2021-01-09,27,23,41,19,12,8,27,6,10,0,2,3,5,10,4,4,1,1,2,1,2,0,1,4,1,1,1,6,6,1,2,3,3,10,9,4,5,2,2,2,2,1,2,2,0,1,3,3,1,0,3,3,5,1,0,2,4,1,1,1,1,0,0,4,3,2,1,1,1,2,2,1,1,7,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,21,11,19,16,8,7,0,0,0,3,13,10,33,20,16,17,40,21,17,0,7,11,2,0,5,0,0,1,0,0,6,15,52,38,20,23,0,15,3,0,10,0,28,2,0,15,14,0,0,16,10,11,14,13,0,6,0,0,2,11,0,7,5,5,5,6,5,0,0,0,0,0,0,0,0,7,0,9,9,2,3,12,1,0,2,0,0,0,0,3,0,1,3,3,0,0,5,14,0,0,0,23,3,5,0,1,1,1,0,0,0,0,0,0,7,4,19,6,6,4,6,3,5,0,5,5,5,3,5,0,12,3,4,1,0,1,0,2,3,0,3,3,5,5,5,4,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,10,6,1,0,3,16,0,4,3,21,18,11,1,8,11,3,7,6,0,0,0,6,7,9,14,7,1,5,5,0,1,1,4,6,12,0,10,6,1,13,2,5,6,1,0,3,3,0,0,0,0,1,0,1,2,1,2,4,2,5,0,0,14,24,19,20,42,22,23,13,19,95,1,6,4,13,47,4,8,7,4,30,8,18,1,1,4,18,17,8,9,17,22,9,22,45,18,55,5,18,16,16,15,22,21,14,0,1,0,1,1,0,0,0,53,70,56,19,12,1,3,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
A2021017,2021-01-17,49,32,56,27,13,8,46,4,7,4,5,5,6,11,4,3,1,0,2,1,1,1,1,1,1,1,1,5,5,9,2,2,2,3,3,1,4,2,2,2,2,1,1,1,0,1,2,24,8,0,30,28,37,15,5,5,7,5,5,5,4,3,3,16,13,10,17,15,16,12,12,11,9,21,27,13,0,2,1,10,9,6,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32,29,20,25,22,12,11,5,2,0,5,15,12,31,23,16,18,43,23,17,0,9,20,0,0,7,0,0,1,0,0,6,12,51,36,20,22,0,15,3,0,9,0,26,5,1,14,13,0,0,15,8,10,11,6,0,5,0,1,2,8,0,4,4,4,3,4,4,0,0,0,0,0,0,0,0,5,0,6,8,1,2,6,1,0,1,0,0,0,0,2,0,1,3,2,0,0,4,13,0,0,0,22,3,5,0,1,1,1,0,0,0,0,0,0,5,1,5,1,2,1,2,0,1,0,1,1,1,2,4,0,0,0,1,0,0,0,0,0,0,0,1,3,3,3,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,2,14,0,3,2,16,13,9,0,3,6,0,4,4,0,0,0,4,2,2,7,4,0,3,3,0,0,0,0,0,7,0,19,5,0,9,1,4,7,0,0,3,3,0,0,0,0,1,0,0,0,0,0,3,0,3,0,0,5,18,12,12,22,10,12,7,7,24,0,2,0,3,9,1,4,2,0,0,0,2,2,0,1,16,10,4,4,24,22,17,9,7,16,49,5,17,15,16,18,19,18,31,0,0,0,1,0,1,1,20,59,78,38,48,14,1,5,1,1,0,5,0,0,2,0,0,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A2021025,2021-01-25,53,8,14,11,7,3,6,2,3,0,0,6,4,7,3,2,0,0,0,0,0,0,0,1,0,0,2,15,15,7,6,6,6,11,10,5,16,6,6,6,5,3,5,4,0,1,8,23,25,12,26,25,31,7,6,15,9,8,8,8,6,4,4,14,11,8,14,12,12,9,9,9,8,44,44,22,5,6,4,18,15,7,3,1,0,0,0,0,5,2,1,1,0,0,0,0,1,26,4,4,13,1,0,8,2,2,1,5,0,0,0,2,5,2,1,1,1,0,73,39,28,52,46,37,33,5,7,0,18,24,18,42,72,28,58,69,50,35,0,34,55,41,21,35,0,0,7,0,0,13,23,39,29,23,21,0,10,2,0,9,10,29,0,0,16,14,0,0,18,8,14,20,11,0,8,0,34,23,37,0,26,13,13,13,18,17,1,0,0,0,0,0,0,0,3,0,4,8,3,3,6,1,1,2,0,1,0,0,7,0,2,3,2,0,0,4,11,1,0,0,21,3,4,0,1,1,1,0,0,0,0,0,0,5,3,5,3,3,1,3,4,3,0,3,3,3,6,9,0,0,0,3,1,0,0,0,0,0,0,3,6,5,5,5,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,2,12,0,3,2,11,9,6,1,2,6,3,5,4,0,0,0,3,0,1,5,2,0,2,2,0,0,0,0,1,3,0,19,2,0,5,1,4,4,0,0,2,2,0,0,0,0,1,3,0,0,0,0,0,0,1,1,0,3,13,8,8,21,8,9,2,8,26,0,2,1,5,13,1,3,3,1,7,0,4,8,1,2,18,14,5,7,26,21,23,10,4,17,54,7,18,17,16,17,21,21,44,3,4,0,9,5,0,1,10,68,97,50,77,19,5,22,0,0,14,4,0,43,7,7,0,4,0,0,2,1,2,0,10,2,0,0,0,0,32,1,0
A2021033,2021-02-02,87,11,19,29,19,12,38,7,5,4,3,11,12,10,7,6,1,0,3,4,4,14,4,2,7,4,1,3,3,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,5,3,0,7,6,9,1,0,3,6,2,2,2,1,1,1,6,5,3,2,1,1,3,2,2,2,12,3,4,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,97,88,100,88,82,63,56,19,16,0,29,93,89,86,100,83,89,85,72,74,3,50,73,48,28,49,0,0,10,0,0,27,85,92,86,84,64,0,30,6,1,27,5,53,0,0,29,26,0,0,42,20,27,47,32,0,17,0,6,11,49,0,25,6,7,20,16,15,0,0,0,0,0,0,0,0,4,0,5,8,1,1,3,0,0,1,1,0,0,0,6,0,1,2,2,0,0,5,13,0,0,0,30,10,7,0,2,2,2,0,0,0,0,0,0,5,1,7,1,2,1,2,0,1,0,2,1,1,2,4,0,0,0,1,0,0,0,0,0,0,0,2,4,4,4,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,2,14,0,3,2,14,11,8,0,2,5,0,3,3,0,0,0,3,0,0,5,3,0,2,2,0,0,0,0,0,4,0,15,3,0,4,1,2,4,0,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,3,16,10,10,22,8,9,3,10,51,0,1,2,5,25,0,2,2,0,0,0,0,4,0,0,19,14,4,19,26,19,17,9,0,14,52,3,15,13,14,21,23,22,36,0,1,0,1,0,0,0,6,62,84,41,60,16,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0
A2021041,2021-02-10,49,6,10,12,6,3,12,1,2,0,0,1,3,6,2,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,27,0,33,31,23,24,5,17,9,8,8,7,6,3,3,20,18,13,23,20,21,15,15,15,12,53,21,19,20,16,12,17,15,20,8,0,0,0,1,1,17,8,3,0,0,0,0,0,2,22,7,8,12,6,1,8,5,5,3,6,0,0,0,0,0,0,0,0,0,0,66,70,82,59,52,32,28,1,15,0,16,61,54,59,79,52,56,71,51,48,1,38,43,15,6,27,0,0,5,0,0,17,27,52,47,49,37,0,18,4,1,17,7,35,0,0,20,18,0,0,13,5,8,10,6,1,4,0,7,6,9,0,7,4,5,2,5,5,0,0,0,0,0,0,0,0,2,0,2,6,1,1,2,0,0,1,0,0,0,0,2,0,0,1,1,0,0,4,11,0,0,0,21,3,4,0,1,1,1,0,0,0,0,0,0,6,1,4,1,2,1,2,0,1,0,1,1,1,2,3,0,0,0,1,0,0,0,0,0,0,0,4,3,4,4,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,13,2,4,2,12,10,8,0,2,5,1,3,3,0,0,0,3,0,0,4,3,0,2,2,0,0,0,0,0,3,0,9,2,0,2,0,1,4,0,0,2,2,0,0,0,0,1,2,0,0,0,1,1,0,3,0,0,3,14,9,9,25,7,9,1,8,32,0,1,1,3,22,0,1,1,0,0,0,1,1,0,0,14,10,3,5,27,16,17,7,4,14,53,2,15,14,14,19,24,24,20,0,1,0,2,1,0,0,0,56,84,34,66,15,1,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
A2021049,2021-02-18,53,6,10,12,6,2,3,1,9,0,1,0,2,4,1,1,0,0,0,0,1,0,0,2,0,0,2,4,4,0,2,2,2,3,3,1,4,1,1,1,1,1,1,1,1,0,1,4,2,0,5,5,8,0,0,4,6,2,2,2,2,1,1,7,6,4,3,2,2,3,3,3,3,13,2,4,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,52,57,45,38,21,19,0,2,0,9,40,30,47,54,34,44,61,41,35,0,18,35,2,0,14,0,0,2,0,0,12,10,44,36,34,25,0,9,2,0,10,0,24,0,0,13,12,0,0,8,4,5,7,1,0,2,0,1,1,4,0,3,2,3,1,2,2,0,0,0,0,0,0,0,0,1,0,1,5,0,0,2,0,0,1,0,0,0,0,1,0,0,1,1,0,0,3,10,0,0,0,23,3,5,0,1,1,1,0,0,0,0,0,0,5,1,4,1,2,0,2,0,1,0,1,1,1,2,3,0,0,0,1,0,0,0,0,0,0,0,1,2,3,3,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,2,12,0,3,2,9,8,6,1,1,4,0,2,2,0,0,0,3,0,0,4,3,0,2,2,0,0,0,0,0,3,0,7,2,0,5,2,3,4,0,0,2,2,0,0,0,0,1,0,0,0,0,1,1,2,5,11,2,4,14,9,9,19,7,8,1,8,22,1,3,0,4,23,2,4,3,0,2,0,0,1,2,1,19,13,5,3,29,22,19,20,13,20,61,5,21,19,18,18,23,23,27,4,2,1,4,3,0,7,10,68,81,62,59,17,4,3,3,7,8,10,0,9,4,0,0,4,11,0,0,1,0,79,5,0,0,0,0,2,0,0,0
A2021057,2021-02-26,27,12,18,47,32,17,57,22,14,13,12,6,9,7,6,5,10,5,7,4,6,15,4,17,5,4,3,9,9,1,4,4,4,10,9,4,13,3,3,3,4,2,3,2,8,1,3,4,0,0,4,4,6,0,0,3,5,1,1,1,1,1,1,4,3,2,1,1,1,2,2,2,1,15,1,3,0,0,0,2,2,4,1,4,2,4,3,2,1,1,2,3,2,3,7,1,1,37,9,10,23,23,1,16,5,4,3,10,0,0,0,15,23,13,6,27,6,0,36,37,34,30,26,21,20,20,33,0,17,26,21,40,39,26,34,60,36,28,0,12,39,7,5,14,0,5,4,0,0,10,7,39,30,25,21,0,8,2,0,9,1,25,0,0,13,12,0,0,9,3,6,8,2,0,3,0,0,1,6,0,4,3,3,0,3,3,0,0,0,0,0,0,0,0,1,0,1,5,0,0,2,0,0,1,0,0,0,0,1,0,0,1,1,0,0,4,12,0,0,0,23,5,5,0,1,1,1,0,0,0,0,0,0,5,1,7,1,2,0,2,0,1,0,1,1,1,2,3,0,0,0,1,0,0,0,0,0,0,0,6,2,4,4,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,2,13,0,3,2,13,11,8,0,1,4,0,2,2,0,0,0,3,1,0,5,5,0,5,5,0,0,0,0,0,16,19,8,11,1,2,0,1,5,5,2,3,3,0,0,0,0,1,1,12,3,0,2,46,60,34,15,61,3,14,9,10,16,5,6,0,7,30,0,1,0,4,24,1,1,2,0,2,0,0,0,1,0,13,9,3,4,24,12,30,7,0,17,65,2,18,15,15,18,21,21,29,1,2,0,1,2,0,0,8,65,85,43,68,17,2,5,0,0,3,2,0,2,5,8,0,3,3,0,0,1,3,3,6,0,0,1,3,4,0,2,0
A2021065,2021-03-06,53,16,19,25,15,10,17,8,9,2,5,4,9,8,8,7,13,5,12,4,7,16,2,8,3,2,11,71,68,92,23,24,24,46,43,16,46,18,18,17,18,9,13,12,0,4,27,5,1,0,5,4,13,0,0,3,5,1,1,1,1,1,1,3,2,2,1,1,1,1,1,1,1,9,3,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,1,0,1,4,2,1,1,0,0,0,0,0,0,0,0,0,0,40,35,25,33,29,15,14,0,1,0,6,18,16,38,25,22,29,55,33,25,0,11,25,0,0,9,1,0,1,0,0,8,9,48,36,32,25,0,13,3,0,11,0,24,0,1,13,11,0,0,13,3,8,7,2,0,3,0,0,5,6,0,5,3,3,3,4,3,0,2,1,0,0,0,0,0,11,28,11,4,0,0,2,2,0,2,4,0,1,0,2,0,4,4,3,0,0,3,10,0,0,0,25,4,5,0,2,1,1,0,0,0,0,0,0,4,1,9,2,3,0,3,0,2,0,2,2,2,2,3,0,0,0,2,0,0,0,0,0,0,0,0,3,6,6,6,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,2,10,0,2,2,10,9,6,0,0,3,0,2,2,0,0,0,2,1,1,4,3,0,2,2,0,0,0,0,0,2,0,7,1,0,4,0,1,4,0,2,3,3,1,4,0,0,3,0,4,0,0,3,1,0,1,0,0,2,11,7,7,18,5,6,0,8,45,0,2,1,6,31,2,1,3,0,0,0,5,0,2,1,14,10,5,9,36,24,21,24,24,21,72,5,22,20,20,19,23,23,45,14,9,0,20,11,1,6,15,79,85,76,64,28,12,23,6,8,17,27,11,22,22,38,10,5,3,0,1,2,1,9,6,0,0,1,0,2,0,4,0
